,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rio Grande,BR,-32.035,-52.0986,70.0,95,100,8.32,light rain
1,Rikitea,PF,-23.1203,-134.9692,78.73,73,14,18.19,light rain
2,Punta Arenas,CL,-53.15,-70.9167,48.2,71,75,8.05,broken clouds
3,Vangaindrano,MG,-23.35,47.6,71.24,95,27,3.42,scattered clouds
4,Varadero,CU,23.1536,-81.2514,77.0,61,20,12.66,few clouds
5,Port Alfred,ZA,-33.5906,26.891,68.52,84,83,21.85,broken clouds
6,Ushuaia,AR,-54.8,-68.3,48.2,66,75,5.64,broken clouds
7,Bambous Virieux,MU,-20.3428,57.7575,75.99,88,20,6.91,few clouds
8,Vilyuysk,RU,63.7553,121.6247,17.71,92,78,7.74,broken clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,79.0,86,49,5.01,scattered clouds
10,Mataura,NZ,-46.1927,168.8643,64.99,70,100,5.99,light rain
11,Isangel,VU,-19.55,169.2667,84.2,79,75,4.61,broken clouds
12,Mahabad,IR,36.7631,45.7222,38.28,89,27,12.01,scattered clouds
13,Leh,IN,34.1667,77.5833,35.62,50,96,4.85,overcast clouds
14,Albany,US,42.6001,-73.9662,48.99,78,100,5.01,overcast clouds
15,Macroom,IE,51.9,-8.95,37.0,87,75,11.5,broken clouds
16,Odweyne,SO,9.4092,45.064,66.4,42,41,7.49,scattered clouds
17,Jamestown,US,42.097,-79.2353,43.0,93,90,9.31,overcast clouds
18,Lubango,AO,-14.9172,13.4925,59.83,92,100,1.88,overcast clouds
19,Avera,US,33.194,-82.5271,66.99,94,90,4.63,fog
20,New Norfolk,AU,-42.7826,147.0587,61.0,85,100,7.0,overcast clouds
21,Kapaa,US,22.0752,-159.319,80.01,78,75,9.22,broken clouds
22,Salta,AR,-24.7859,-65.4117,62.6,94,75,8.05,drizzle
23,Samarai,PG,-10.6167,150.6667,84.47,74,69,11.83,broken clouds
24,Vaini,TO,-21.2,-175.2,84.2,79,40,10.36,scattered clouds
25,Kloulklubed,PW,7.0419,134.2556,81.41,83,100,23.13,heavy intensity rain
26,Pathalgaon,IN,22.5667,83.4667,69.3,14,0,5.35,clear sky
27,Longyearbyen,SJ,78.2186,15.6401,17.6,73,20,25.32,snow
28,Cape Town,ZA,-33.9258,18.4232,62.6,94,75,2.3,light rain
29,Pa Sang,TH,18.5262,98.9394,79.0,78,36,1.14,scattered clouds
30,Iqaluit,CA,63.7506,-68.5145,-16.6,63,20,6.91,few clouds
31,Chokurdakh,RU,70.6333,147.9167,-13.14,94,57,6.04,broken clouds
32,Khani,GE,41.9563,42.9566,41.0,87,90,5.75,overcast clouds
33,Clyde River,CA,70.4692,-68.5914,-14.8,70,1,3.44,clear sky
34,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,11,5.75,few clouds
35,Lebu,CL,-37.6167,-73.65,55.51,77,62,19.82,broken clouds
36,Sinjar,IQ,36.3209,41.8754,44.58,76,9,12.88,clear sky
37,Vila Franca Do Campo,PT,37.7167,-25.4333,55.4,76,20,8.05,few clouds
38,Atuona,PF,-9.8,-139.0333,80.8,76,38,18.3,scattered clouds
39,Porto Walter,BR,-8.2686,-72.7439,73.27,93,77,2.1,broken clouds
40,Camana,PE,-16.6228,-72.7111,70.75,80,53,5.79,broken clouds
41,Thompson,CA,55.7435,-97.8558,23.0,80,90,9.22,snow
42,Mount Isa,AU,-20.7333,139.5,89.6,22,5,13.8,clear sky
43,Sitangkai,PH,4.6628,119.3928,81.1,77,71,2.64,broken clouds
44,Narsaq,GL,60.9167,-46.05,5.0,51,20,9.22,few clouds
45,Aktas,KZ,49.7789,72.9608,33.8,93,90,20.13,overcast clouds
46,Hualmay,PE,-11.0964,-77.6139,69.89,82,72,6.49,broken clouds
