City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,San Patricio,US,2021-03-23 15:45:47,28.017,-97.5169,77.0,78,75,6.91
1,Saskylakh,RU,2021-03-23 15:45:47,71.9167,114.0833,-37.61,100,43,5.46
2,Chuy,UY,2021-03-23 15:45:48,-33.6971,-53.4616,75.02,56,24,7.0
3,Upernavik,GL,2021-03-23 15:45:48,72.7868,-56.1549,-8.12,85,100,4.5
4,Camocim,BR,2021-03-23 15:45:48,-2.9022,-40.8411,83.17,72,100,7.07
5,Namibe,AO,2021-03-23 15:45:48,-15.1961,12.1522,75.56,76,94,10.27
6,Olinda,BR,2021-03-23 15:45:49,-8.0089,-34.8553,84.2,65,40,9.22
7,Sorong,ID,2021-03-23 15:45:49,-0.8833,131.25,80.92,79,100,7.38
8,Bathsheba,BB,2021-03-23 15:45:49,13.2167,-59.5167,84.2,48,20,24.16
9,Bilma,NE,2021-03-23 15:45:50,18.6853,12.9164,94.03,11,2,15.93
10,Geraldton,AU,2021-03-23 15:45:50,-28.7667,114.6,64.4,59,0,19.57
11,Tandalti,SD,2021-03-23 15:45:51,13.0167,31.8667,97.74,7,13,8.37
12,Amahai,ID,2021-03-23 15:45:51,-3.3333,128.9167,78.76,86,100,1.97
13,Busselton,AU,2021-03-23 15:45:52,-33.65,115.3333,52.0,94,0,9.15
14,Provideniya,RU,2021-03-23 15:45:52,64.3833,-173.3,11.75,96,100,8.68
15,Yumen,CN,2021-03-23 15:45:52,40.2833,97.2,45.3,13,100,8.37
16,Carnarvon,AU,2021-03-23 15:41:56,-24.8667,113.6333,73.4,78,0,19.57
17,Cidreira,BR,2021-03-23 15:45:53,-30.1811,-50.2056,70.7,95,100,0.78
18,Port Alfred,ZA,2021-03-23 15:45:53,-33.5906,26.891,70.88,68,13,18.68
19,Lebu,CL,2021-03-23 15:45:53,-37.6167,-73.65,61.93,68,72,9.37
20,Tuktoyaktuk,CA,2021-03-23 15:45:54,69.4541,-133.0374,-9.4,77,20,21.85
21,Dingle,PH,2021-03-23 15:45:54,10.9995,122.6711,76.64,87,89,9.44
22,Punta Arenas,CL,2021-03-23 15:42:20,-53.15,-70.9167,51.8,71,75,10.36
23,Rikitea,PF,2021-03-23 15:45:54,-23.1203,-134.9692,79.75,72,6,9.08
24,Hearst,CA,2021-03-23 15:45:55,49.6835,-83.6665,39.2,81,100,4.61
25,Longyearbyen,SJ,2021-03-23 15:45:22,78.2186,15.6401,24.8,68,90,11.5
26,Hilo,US,2021-03-23 15:45:55,19.7297,-155.09,64.4,77,1,6.91
27,Sitka,US,2021-03-23 15:45:56,57.0531,-135.33,39.2,87,90,16.11
28,Qaanaaq,GL,2021-03-23 15:45:56,77.484,-69.3632,-13.92,69,48,6.08
29,Chokurdakh,RU,2021-03-23 15:45:56,70.6333,147.9167,-9.72,93,100,13.56
30,Tuatapere,NZ,2021-03-23 15:45:57,-46.1333,167.6833,53.01,98,100,4.21
31,Nikolskoye,RU,2021-03-23 15:45:57,59.7035,30.7861,39.2,45,75,11.18
32,Thompson,CA,2021-03-23 15:45:58,55.7435,-97.8558,-5.8,59,1,8.05
33,Tarauaca,BR,2021-03-23 15:45:59,-8.1614,-70.7656,77.56,81,99,0.65
34,Grindavik,IS,2021-03-23 15:45:59,63.8424,-22.4338,39.2,65,75,8.05
35,Castro,BR,2021-03-23 15:45:59,-24.7911,-50.0119,78.73,61,22,5.99
36,Palmas Bellas,PA,2021-03-23 15:46:00,9.2319,-80.0867,84.0,64,97,35.01
37,Dwarka,IN,2021-03-23 15:46:00,22.2394,68.9678,78.87,69,0,9.69
38,Tromso,NO,2021-03-23 15:46:00,69.6496,18.957,37.0,75,75,26.46
39,Ribeira Grande,PT,2021-03-23 15:46:01,38.5167,-28.7,59.0,58,40,19.57
40,Saint George,US,2021-03-23 15:43:52,37.1041,-113.5841,51.01,57,20,9.22
41,Hambantota,LK,2021-03-23 15:46:01,6.1241,81.1185,80.6,94,75,2.3
42,Narsaq,GL,2021-03-23 15:46:01,60.9167,-46.05,23.0,42,20,6.91
43,Jamestown,US,2021-03-23 15:46:02,42.097,-79.2353,59.0,37,1,8.99
44,Kapaa,US,2021-03-23 15:46:02,22.0752,-159.319,64.4,94,1,6.91
45,Ancud,CL,2021-03-23 15:46:02,-41.8697,-73.8203,57.0,94,90,4.61
46,Vyazniki,RU,2021-03-23 15:46:03,56.25,42.1667,28.89,83,100,5.73
47,Jalu,LY,2021-03-23 15:46:03,29.0331,21.5482,68.36,18,0,22.32
48,Husavik,IS,2021-03-23 15:46:04,66.0449,-17.3389,41.0,45,75,12.66
49,Lagoa,PT,2021-03-23 15:46:04,39.05,-27.9833,54.91,56,100,12.03
50,Barrow,US,2021-03-23 15:46:04,71.2906,-156.7887,-0.4,78,90,10.36
51,Guerrero Negro,MX,2021-03-23 15:46:05,27.9769,-114.0611,59.38,64,56,18.39
52,Belorechensk,RU,2021-03-23 15:46:05,44.76,39.87,39.2,81,90,8.95
53,Half Moon Bay,US,2021-03-23 15:46:05,37.4636,-122.4286,52.0,62,1,13.8
54,Tual,ID,2021-03-23 15:46:06,-5.6667,132.75,83.71,72,86,5.57
55,Flinders,AU,2021-03-23 15:46:06,-34.5833,150.8552,66.99,98,10,1.01
56,Biak,ID,2021-03-23 15:46:06,-0.9131,122.8766,76.73,84,91,1.23
57,Maturin,VE,2021-03-23 15:41:24,9.75,-63.1767,87.84,52,71,11.41
58,Pouembout,NC,2021-03-23 15:46:07,-21.1333,164.9,72.16,84,95,5.21
59,Westport,US,2021-03-23 15:46:07,41.1415,-73.3579,59.0,66,1,3.44
60,Bredasdorp,ZA,2021-03-23 15:46:07,-34.5322,20.0403,75.2,57,0,19.57
61,Saint Anthony,US,2021-03-23 15:46:08,45.0205,-93.218,48.99,81,90,5.75
62,Tecoanapa,MX,2021-03-23 15:46:08,16.5167,-98.75,81.48,45,5,4.54
63,Batagay,RU,2021-03-23 15:46:09,67.6333,134.6333,-15.12,98,100,3.69
64,Yulara,AU,2021-03-23 15:46:09,-25.2406,130.9889,71.6,83,29,8.05
65,Bluff,NZ,2021-03-23 15:46:10,-46.6,168.3333,53.01,98,100,5.26
66,Kodiak,US,2021-03-23 15:46:10,57.79,-152.4072,32.0,74,40,11.5
67,Bambous Virieux,MU,2021-03-23 15:46:10,-20.3428,57.7575,82.4,78,75,4.61
68,Hobart,AU,2021-03-23 15:45:02,-42.8794,147.3294,63.0,88,90,5.75
69,Dunedin,NZ,2021-03-23 15:46:11,-45.8742,170.5036,55.0,92,100,3.29
70,Udaipura,IN,2021-03-23 15:46:11,23.0833,78.5,83.21,33,97,6.98
71,Lidkoping,SE,2021-03-23 15:46:11,58.5052,13.1577,53.6,76,75,16.11
72,Arraial Do Cabo,BR,2021-03-23 15:46:12,-22.9661,-42.0278,84.2,74,20,14.97
73,Abha,SA,2021-03-23 15:43:29,18.2164,42.5053,75.2,53,0,11.5
74,Bengkulu,ID,2021-03-23 15:42:13,-3.8004,102.2655,75.9,90,100,6.6
75,Mahebourg,MU,2021-03-23 15:46:12,-20.4081,57.7,82.4,78,75,4.61
76,Lompoc,US,2021-03-23 15:46:13,34.6391,-120.4579,48.99,81,1,3.44
77,Longkou,CN,2021-03-23 15:46:15,37.6508,120.3286,50.41,52,24,15.52
78,Portland,US,2021-03-23 15:46:15,45.5234,-122.6762,42.01,87,40,1.28
79,Saint-Philippe,RE,2021-03-23 15:46:16,-21.3585,55.7679,82.4,78,90,1.14
80,Vaini,TO,2021-03-23 15:46:16,-21.2,-175.2,71.6,100,75,8.59
81,Souillac,MU,2021-03-23 15:46:17,-20.5167,57.5167,82.4,78,75,4.61
82,Axams,AT,2021-03-23 15:46:17,47.2081,11.2869,50.0,49,20,5.75
83,Georgetown,MY,2021-03-23 15:46:17,5.4112,100.3354,78.8,94,20,1.72
84,Tiksi,RU,2021-03-23 15:46:18,71.6872,128.8694,-25.31,100,100,4.65
85,New Norfolk,AU,2021-03-23 15:46:18,-42.7826,147.0587,63.0,69,100,1.99
86,Port Elizabeth,ZA,2021-03-23 15:45:23,-33.918,25.5701,71.6,73,0,18.41
87,Pevek,RU,2021-03-23 15:46:18,69.7008,170.3133,3.33,77,100,2.89
88,Mataura,NZ,2021-03-23 15:46:19,-46.1927,168.8643,53.01,98,100,1.63
89,Oum Hadjer,TD,2021-03-23 15:46:19,13.2954,19.6966,104.95,9,27,6.31
90,Sayyan,YE,2021-03-23 15:46:19,15.1718,44.3244,63.52,16,5,12.62
91,Itoman,JP,2021-03-23 15:46:20,26.1247,127.6694,64.4,55,40,5.75
92,Ahipara,NZ,2021-03-23 15:46:20,-35.1667,173.1667,56.41,87,0,2.44
93,Hermanus,ZA,2021-03-23 15:46:20,-34.4187,19.2345,78.01,60,0,11.99
94,Tsabong,BW,2021-03-23 15:46:21,-26.0217,22.401,71.26,71,78,17.31
95,Ushuaia,AR,2021-03-23 15:46:22,-54.8,-68.3,46.4,87,90,6.91
96,Dasuya,IN,2021-03-23 15:46:22,31.8183,75.6597,62.89,71,100,18.3
97,Saint-Pierre,RE,2021-03-23 15:46:23,-21.3393,55.4781,82.4,78,90,1.14
98,Atuona,PF,2021-03-23 15:46:23,-9.8,-139.0333,80.33,68,7,20.02
99,Tukrah,LY,2021-03-23 15:46:23,32.5341,20.5791,57.4,64,45,31.52
100,Kasur,PK,2021-03-23 15:46:24,31.1156,74.4467,71.6,56,20,11.5
101,Yellowknife,CA,2021-03-23 15:43:56,62.456,-114.3525,-13.0,64,90,12.66
102,Sao Joao Da Barra,BR,2021-03-23 15:46:24,-21.6403,-41.0511,87.8,55,40,7.34
103,Kalaleh,IR,2021-03-23 15:46:24,37.3807,55.4916,62.6,77,0,5.41
